27.25,1,-6.8724,1.0897,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
27.5,1,-7.122,1.0747,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
27.75,1,-7.3715,1.0597,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
28,1,-7.6211,1.0447,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
28.25,1,-7.8706,1.0297,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
28.5,1,-8.1202,1.0147,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
28.75,1,-8.3697,0.99974,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
29,1,-8.6193,0.98474,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
29.25,1,-8.8688,0.96973,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
29.5,1,-9.1184,0.95473,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
29.75,1,-9.3679,0.93973,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
30,1,-9.6175,0.92473,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
30.25,1,-9.867,0.90973,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
30.5,1,-10.117,0.89472,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
30.75,1,-10.366,0.87972,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
31,1,-10.616,0.86472,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
31.25,1,-10.865,0.84972,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
31.5,1,-11.115,0.83472,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
31.75,1,-11.364,0.81972,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
32,1,-11.614,0.80471,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
32.25,1,-11.863,0.78971,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
32.5,1,-12.113,0.77471,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
32.75,1,-12.363,0.75971,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
33,1,-12.612,0.74471,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
33.25,1,-12.862,0.72971,-0.9982,-0.060007,8888,1000,NaN,NaN,2000,-0.9982,-0.060007,3000,NaN,NaN
